,period,area-name,series-description,value,units
672,2016-09-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
673,2016-09-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
677,2016-09-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
678,2016-09-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),15,MBBL/D
694,2016-09-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
701,2016-09-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
715,2016-09-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),413,MBBL/D
725,2016-09-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),22,MBBL/D
744,2016-09-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),320,MBBL/D
746,2016-09-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
773,2016-08-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
789,2016-08-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),189,MBBL/D
792,2016-08-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),5393,MBBL/D
805,2016-08-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),1611,MBBL/D
806,2016-08-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
817,2016-08-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),654,MBBL/D
824,2016-08-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),976,MBBL/D
826,2016-08-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
840,2016-07-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),55,MBBL/D
857,2016-07-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
860,2016-07-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),3138,MBBL/D
870,2016-07-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),22,MBBL/D
876,2016-07-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),9,MBBL/D
881,2016-07-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),101,MBBL/D
891,2016-07-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
903,2016-07-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
917,2016-07-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),506,MBBL/D
953,2016-06-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),64,MBBL/D
954,2016-06-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
955,2016-06-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
962,2016-06-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
971,2016-06-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),455,MBBL/D
972,2016-06-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),17,MBBL/D
986,2016-06-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),484,MBBL/D
987,2016-06-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),971,MBBL/D
992,2016-06-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
1005,2016-06-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),645,MBBL/D
1009,2016-05-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1593,MBBL/D
1010,2016-05-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1020,2016-05-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),64,MBBL/D
1022,2016-05-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),62,MBBL/D
1026,2016-05-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
1038,2016-05-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),15,MBBL/D
1042,2016-05-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1045,2016-05-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1047,2016-05-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),393,MBBL/D
1051,2016-05-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1040,MBBL/D
1053,2016-05-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),197,MBBL/D
1061,2016-05-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),490,MBBL/D
1066,2016-05-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1031,MBBL/D
1080,2016-05-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),5404,MBBL/D
1085,2016-05-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),21,MBBL/D
1087,2016-05-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),505,MBBL/D
1103,2016-04-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1106,2016-04-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1122,2016-04-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
1133,2016-04-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),65,MBBL/D
1136,2016-04-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),5454,MBBL/D
1140,2016-04-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),162,MBBL/D
1147,2016-04-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),517,MBBL/D
1148,2016-04-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1023,MBBL/D
1149,2016-04-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1150,2016-04-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1156,2016-04-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),83,MBBL/D
1160,2016-04-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),22,MBBL/D
1163,2016-04-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),674,MBBL/D
1165,2016-04-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
1175,2016-04-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),318,MBBL/D
1182,2016-03-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),511,MBBL/D
1196,2016-03-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1215,2016-03-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
1236,2016-03-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),15,MBBL/D
1237,2016-03-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1254,2016-03-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
1256,2016-03-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),678,MBBL/D
1266,2016-02-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
1271,2016-02-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
1273,2016-02-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),24,MBBL/D
1281,2016-02-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),491,MBBL/D
1296,2016-02-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),530,MBBL/D
1299,2016-02-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),22,MBBL/D
1307,2016-02-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1309,2016-02-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),46,MBBL/D
1313,2016-02-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
1315,2016-02-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),84,MBBL/D
1318,2016-02-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),110,MBBL/D
1327,2016-02-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),68,MBBL/D
1329,2016-02-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1339,2016-02-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),17,MBBL/D
1342,2016-02-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
1347,2016-01-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1114,MBBL/D
1349,2016-01-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),60,MBBL/D
1355,2016-01-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),69,MBBL/D
1356,2016-01-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
1363,2016-01-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1365,2016-01-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),69,MBBL/D
1373,2016-01-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
1390,2016-01-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),22,MBBL/D
1407,2016-01-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1412,2016-01-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
1425,2016-01-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
1427,2016-01-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
1429,2015-12-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),25,MBBL/D
1435,2015-12-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1605,MBBL/D
1437,2015-12-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),359,MBBL/D
1442,2015-12-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),1869,MBBL/D
1446,2015-12-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),17,MBBL/D
1450,2015-12-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),12,MBBL/D
1452,2015-12-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),17,MBBL/D
1453,2015-12-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),456,MBBL/D
1459,2015-12-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1464,2015-12-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),506,MBBL/D
1477,2015-12-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
1478,2015-12-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),5550,MBBL/D
1485,2015-12-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),27,MBBL/D
1497,2015-12-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
1498,2015-12-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1508,2015-12-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1528,2015-11-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1531,2015-11-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1524,MBBL/D
1537,2015-11-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),168,MBBL/D
1554,2015-11-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),72,MBBL/D
1565,2015-11-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),2,MBBL/D
1582,2015-11-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),545,MBBL/D
1593,2015-11-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),733,MBBL/D
1598,2015-10-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),5655,MBBL/D
1603,2015-10-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),10,MBBL/D
1605,2015-10-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),94,MBBL/D
1606,2015-10-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),479,MBBL/D
1632,2015-10-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
1639,2015-10-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1659,2015-10-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1671,2015-10-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),27,MBBL/D
1697,2015-09-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
1700,2015-09-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1155,MBBL/D
1703,2015-09-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),8,MBBL/D
1711,2015-09-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
1713,2015-09-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),743,MBBL/D
1724,2015-09-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1038,MBBL/D
1746,2015-09-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),120,MBBL/D
1758,2015-09-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1763,2015-09-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),17,MBBL/D
1773,2015-08-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),100,MBBL/D
1779,2015-08-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),5733,MBBL/D
1799,2015-08-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
1802,2015-08-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
1803,2015-08-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),172,MBBL/D
1809,2015-08-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),547,MBBL/D
1815,2015-08-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1816,2015-08-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1630,MBBL/D
1839,2015-08-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),408,MBBL/D
1844,2015-08-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
1848,2015-07-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),446,MBBL/D
1858,2015-07-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),544,MBBL/D
1859,2015-07-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),26,MBBL/D
1864,2015-07-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),3442,MBBL/D
1865,2015-07-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
1879,2015-07-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),9,MBBL/D
1880,2015-07-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
1884,2015-07-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
1888,2015-07-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),171,MBBL/D
1892,2015-07-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
1906,2015-07-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),1919,MBBL/D
1914,2015-07-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),431,MBBL/D
1929,2015-07-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),101,MBBL/D
1935,2015-06-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
1937,2015-06-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
1939,2015-06-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),103,MBBL/D
1946,2015-06-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),70,MBBL/D
1949,2015-06-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1959,2015-06-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
1971,2015-06-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),24,MBBL/D
1975,2015-06-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),5572,MBBL/D
1989,2015-06-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),447,MBBL/D
1990,2015-06-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
1993,2015-06-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),3454,MBBL/D
1995,2015-06-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),428,MBBL/D
2015,2015-06-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2020,2015-05-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2024,2015-05-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2029,2015-05-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2034,2015-05-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1404,MBBL/D
2039,2015-05-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2042,2015-05-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),5632,MBBL/D
2050,2015-05-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),8,MBBL/D
2052,2015-05-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),3507,MBBL/D
2069,2015-05-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),26,MBBL/D
2073,2015-05-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),63,MBBL/D
